,name,label
0,images/Siamese_87.jpg,Siamese
1,images/chihuahua_126.jpg,chihuahua
2,images/german_shorthaired_97.jpg,german_shorthaired
3,images/Bombay_157.jpg,Bombay
4,images/Bengal_12.jpg,Bengal
5,images/japanese_chin_116.jpg,japanese_chin
6,images/havanese_109.jpg,havanese
7,images/scottish_terrier_122.jpg,scottish_terrier
8,images/yorkshire_terrier_146.jpg,yorkshire_terrier
9,images/boxer_176.jpg,boxer
10,images/boxer_61.jpg,boxer
11,images/keeshond_117.jpg,keeshond
12,images/chihuahua_170.jpg,chihuahua
13,images/english_setter_140.jpg,english_setter
14,images/american_pit_bull_terrier_36.jpg,american_pit_bull_terrier
15,images/scottish_terrier_4.jpg,scottish_terrier
16,images/yorkshire_terrier_167.jpg,yorkshire_terrier
17,images/Maine_Coon_56.jpg,Maine_Coon
18,images/wheaten_terrier_140.jpg,wheaten_terrier
19,images/Egyptian_Mau_9.jpg,Egyptian_Mau
20,images/american_pit_bull_terrier_56.jpg,american_pit_bull_terrier
21,images/miniature_pinscher_198.jpg,miniature_pinscher
22,images/Abyssinian_174.jpg,Abyssinian
23,images/yorkshire_terrier_154.jpg,yorkshire_terrier
24,images/american_pit_bull_terrier_133.jpg,american_pit_bull_terrier
25,images/beagle_74.jpg,beagle
26,images/great_pyrenees_181.jpg,great_pyrenees
27,images/leonberger_132.jpg,leonberger
28,images/german_shorthaired_53.jpg,german_shorthaired
29,images/yorkshire_terrier_76.jpg,yorkshire_terrier
30,images/Abyssinian_225.jpg,Abyssinian
31,images/american_pit_bull_terrier_186.jpg,american_pit_bull_terrier
32,images/japanese_chin_67.jpg,japanese_chin
33,images/english_cocker_spaniel_4.jpg,english_cocker_spaniel
34,images/keeshond_1.jpg,keeshond
35,images/leonberger_112.jpg,leonberger
36,images/saint_bernard_106.jpg,saint_bernard
37,images/staffordshire_bull_terrier_139.jpg,staffordshire_bull_terrier
38,images/american_pit_bull_terrier_173.jpg,american_pit_bull_terrier
39,images/Birman_47.jpg,Birman
40,images/leonberger_199.jpg,leonberger
41,images/miniature_pinscher_73.jpg,miniature_pinscher
42,images/havanese_30.jpg,havanese
43,images/shiba_inu_194.jpg,shiba_inu
44,images/Sphynx_244.jpg,Sphynx
45,images/Siamese_72.jpg,Siamese
46,images/shiba_inu_129.jpg,shiba_inu
47,images/beagle_82.jpg,beagle
48,images/yorkshire_terrier_145.jpg,yorkshire_terrier
49,images/Bengal_189.jpg,Bengal
50,images/american_bulldog_152.jpg,american_bulldog
51,images/shiba_inu_141.jpg,shiba_inu
52,images/Siamese_194.jpg,Siamese
53,images/Abyssinian_204.jpg,Abyssinian
54,images/keeshond_185.jpg,keeshond
55,images/Sphynx_15.jpg,Sphynx
56,images/Bombay_180.jpg,Bombay
57,images/pug_3.jpg,pug
58,images/samoyed_57.jpg,samoyed
59,images/shiba_inu_158.jpg,shiba_inu
60,images/Abyssinian_128.jpg,Abyssinian
61,images/chihuahua_117.jpg,chihuahua
62,images/Russian_Blue_12.jpg,British_Shorthair
63,images/leonberger_5.jpg,leonberger
64,images/havanese_5.jpg,havanese
65,images/Birman_79.jpg,Birman
66,images/leonberger_61.jpg,leonberger
67,images/leonberger_33.jpg,leonberger
68,images/Bengal_163.jpg,Bengal
69,images/Maine_Coon_50.jpg,Maine_Coon
70,images/boxer_6.jpg,boxer
